HomePlanet,CryoSleep,VIP,Age Interval,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
Earth,False,False,0-6,0.0,0.0,0.0,0.0,0.0
Earth,False,False,6-12,0.0,0.0,0.0,0.0,0.0
Earth,False,False,12-18,184.74683544303798,269.24583333333334,244.1694214876033,207.5481171548117,205.96218487394958
Earth,False,False,18-24,218.5260989010989,177.89133425034387,213.46502057613168,234.78242677824267,206.04861111111111
Earth,False,False,24-30,210.34854771784234,228.06932773109244,222.989604989605,216.2,236.4214876033058
Earth,False,False,30-36,271.688,284.376,161.13306451612902,214.45267489711935,221.74308300395256
Earth,False,False,36-42,247.76666666666668,235.58649789029536,171.89166666666668,211.81327800829877,228.46666666666667
Earth,False,False,42-48,231.1476510067114,180.10738255033556,212.97333333333333,290.7880794701987,217.44
Earth,False,False,48-54,201.24545454545455,288.7798165137615,157.981981981982,240.23893805309734,274.7155963302752
Earth,False,False,54-60,201.92957746478874,304.49295774647885,134.94594594594594,193.375,204.42857142857142
Earth,False,False,60-66,201.93478260869566,234.8,231.25,221.52173913043478,240.88372093023256
Earth,False,False,66-72,215.91666666666666,364.5,359.0,75.41666666666667,174.83333333333334
Earth,False,False,72-78,300.22222222222223,85.75,300.55555555555554,568.0,346.3333333333333
Earth,False,False,78-84,203.33333333333334,106.5,67.33333333333333,309.6666666666667,3.0
Earth,False,False,84+,,,,,
Earth,False,True,0-6,,,,,
Earth,False,True,6-12,,,,,
Earth,False,True,12-18,,,,,
Earth,False,True,18-24,,,,,
Earth,False,True,24-30,,,,,
Earth,False,True,30-36,,,,,
Earth,False,True,36-42,,,,,
Earth,False,True,42-48,,,,,
Earth,False,True,48-54,,,,,
Earth,False,True,54-60,,,,,
Earth,False,True,60-66,,,,,
Earth,False,True,66-72,,,,,
Earth,False,True,72-78,,,,,
Earth,False,True,78-84,,,,,
Earth,False,True,84+,,,,,
Earth,True,False,0-6,0.0,0.0,0.0,0.0,0.0
Earth,True,False,6-12,0.0,0.0,0.0,0.0,0.0
Earth,True,False,12-18,0.0,0.0,0.0,0.0,0.0
Earth,True,False,18-24,0.0,0.0,0.0,0.0,0.0
Earth,True,False,24-30,0.0,0.0,0.0,0.0,0.0
Earth,True,False,30-36,0.0,0.0,0.0,0.0,0.0
Earth,True,False,36-42,0.0,0.0,0.0,0.0,0.0
Earth,True,False,42-48,0.0,0.0,0.0,0.0,0.0
Earth,True,False,48-54,0.0,0.0,0.0,0.0,0.0
Earth,True,False,54-60,0.0,0.0,0.0,0.0,0.0
Earth,True,False,60-66,0.0,0.0,0.0,0.0,0.0
Earth,True,False,66-72,0.0,0.0,0.0,0.0,0.0
Earth,True,False,72-78,,,,,
Earth,True,False,78-84,0.0,0.0,0.0,0.0,0.0
Earth,True,False,84+,,,,,
Earth,True,True,0-6,,,,,
Earth,True,True,6-12,,,,,
Earth,True,True,12-18,,,,,
Earth,True,True,18-24,,,,,
Earth,True,True,24-30,,,,,
Earth,True,True,30-36,,,,,
Earth,True,True,36-42,,,,,
Earth,True,True,42-48,,,,,
Earth,True,True,48-54,,,,,
Earth,True,True,54-60,,,,,
Earth,True,True,60-66,,,,,
Earth,True,True,66-72,,,,,
Earth,True,True,72-78,,,,,
Earth,True,True,78-84,,,,,
Earth,True,True,84+,,,,,
Europa,False,False,0-6,0.0,0.0,0.0,0.0,0.0
Europa,False,False,6-12,0.0,0.0,0.0,0.0,0.0
Europa,False,False,12-18,121.21428571428571,1589.0,2578.1428571428573,1736.9166666666667,1285.7857142857142
Europa,False,False,18-24,184.73239436619718,2326.4857142857145,177.90277777777777,1639.0140845070423,1788.4507042253522
Europa,False,False,24-30,379.7860962566845,2793.303191489362,318.4432432432432,1136.8829787234042,1671.5026737967914
Europa,False,False,30-36,251.1271676300578,2666.8793103448274,261.2628571428571,1516.3953488372092,1573.4802259887006
Europa,False,False,36-42,367.4625850340136,2911.22602739726,265.9583333333333,1673.923611111111,1753.109589041096
Europa,False,False,42-48,177.0686274509804,2865.105769230769,260.8514851485148,1412.8543689320388,1360.8942307692307
Europa,False,False,48-54,245.5,2732.0545454545454,112.80357142857143,1626.8214285714287,1097.9259259259259
Europa,False,False,54-60,301.88,2164.4285714285716,116.52,1650.68,1379.2244897959183
Europa,False,False,60-66,50.391304347826086,2279.7083333333335,48.958333333333336,1882.0833333333333,1762.3478260869565
Europa,False,False,66-72,132.66666666666666,3659.0,0.0,5167.166666666667,247.33333333333334
Europa,False,False,72-78,611.25,3953.25,105.5,6010.5,483.25
Europa,False,False,78-84,5649.0,235.0,7.0,2579.0,2175.0
Europa,False,False,84+,,,,,
Europa,False,True,0-6,,,,,
Europa,False,True,6-12,,,,,
Europa,False,True,12-18,,,,,
Europa,False,True,18-24,,,,,
Europa,False,True,24-30,44.65,2867.3333333333335,290.6666666666667,677.1,1411.6666666666667
Europa,False,True,30-36,953.1,2026.15,277.3,1672.45,1673.3
Europa,False,True,36-42,10.6,4875.266666666666,105.46666666666667,1140.4,2240.733333333333
Europa,False,True,42-48,776.5714285714286,1494.25,208.5,1078.0,2586.875
Europa,False,True,48-54,534.4,3072.1,175.9,479.1,4384.4
Europa,False,True,54-60,5.625,3040.625,453.75,2423.5,1758.0
Europa,False,True,60-66,630.3333333333334,2262.0,0.0,729.0,496.3333333333333
Europa,False,True,66-72,0.0,0.0,0.0,0.0,0.0
Europa,False,True,72-78,,,,,
Europa,False,True,78-84,,,,,
Europa,False,True,84+,,,,,
Europa,True,False,0-6,0.0,0.0,0.0,0.0,0.0
Europa,True,False,6-12,,,,,
Europa,True,False,12-18,0.0,0.0,0.0,0.0,0.0
Europa,True,False,18-24,0.0,0.0,0.0,0.0,0.0
Europa,True,False,24-30,0.0,0.0,0.0,0.0,0.0
Europa,True,False,30-36,0.0,0.0,0.0,0.0,0.0
Europa,True,False,36-42,0.0,0.0,0.0,0.0,0.0
Europa,True,False,42-48,0.0,0.0,0.0,0.0,0.0
Europa,True,False,48-54,0.0,0.0,0.0,0.0,0.0
Europa,True,False,54-60,0.0,0.0,0.0,0.0,0.0
Europa,True,False,60-66,0.0,0.0,0.0,0.0,0.0
Europa,True,False,66-72,0.0,0.0,0.0,0.0,0.0
Europa,True,False,72-78,0.0,0.0,0.0,0.0,0.0
Europa,True,False,78-84,,,,,
Europa,True,False,84+,,,,,
Europa,True,True,0-6,,,,,
Europa,True,True,6-12,,,,,
Europa,True,True,12-18,,,,,
Europa,True,True,18-24,,,,,
Europa,True,True,24-30,0.0,0.0,0.0,0.0,0.0
Europa,True,True,30-36,0.0,0.0,0.0,0.0,0.0
Europa,True,True,36-42,0.0,0.0,0.0,0.0,0.0
Europa,True,True,42-48,0.0,0.0,0.0,0.0,0.0
Europa,True,True,48-54,,,,,
Europa,True,True,54-60,0.0,0.0,0.0,0.0,0.0
Europa,True,True,60-66,,,,,
Europa,True,True,66-72,,,,,
Europa,True,True,72-78,0.0,0.0,0.0,0.0,0.0
Europa,True,True,78-84,,,,,
Europa,True,True,84+,,,,,
Mars,False,False,0-6,0.0,0.0,0.0,0.0,0.0
Mars,False,False,6-12,0.0,0.0,0.0,0.0,0.0
Mars,False,False,12-18,1284.6666666666667,50.38181818181818,683.8214285714286,140.63636363636363,98.24074074074075
Mars,False,False,18-24,1000.2754491017964,86.21764705882353,597.0059880239521,218.28571428571428,67.07738095238095
Mars,False,False,24-30,932.7484276729559,77.41975308641975,524.0062893081761,200.78395061728395,59.24683544303797
Mars,False,False,30-36,1033.5258620689656,100.22413793103448,492.9727272727273,143.2566371681416,76.3391304347826
Mars,False,False,36-42,903.8311688311688,200.28571428571428,647.3333333333334,143.7948717948718,105.97435897435898
Mars,False,False,42-48,1036.8918918918919,130.4189189189189,555.3243243243244,98.20833333333333,124.06944444444444
Mars,False,False,48-54,720.1315789473684,91.70270270270271,465.6578947368421,198.75675675675674,82.8157894736842
Mars,False,False,54-60,917.2307692307693,95.57692307692308,397.11538461538464,382.7692307692308,106.53846153846153
Mars,False,False,60-66,1212.4117647058824,77.76470588235294,267.88235294117646,243.0625,17.058823529411764
Mars,False,False,66-72,1373.3333333333333,216.66666666666666,384.1666666666667,216.16666666666666,200.83333333333334
Mars,False,False,72-78,413.0,1.0,130.5,638.0,0.0
Mars,False,False,78-84,,,,,
Mars,False,False,84+,,,,,
Mars,False,True,0-6,,,,,
Mars,False,True,6-12,,,,,
Mars,False,True,12-18,,,,,
Mars,False,True,18-24,202.75,195.75,214.25,863.75,0.0
Mars,False,True,24-30,958.5625,120.42857142857143,397.0625,172.05882352941177,33.529411764705884
Mars,False,True,30-36,917.5,245.375,217.8,158.0625,46.5625
Mars,False,True,36-42,746.1666666666666,69.14285714285714,626.0,64.57142857142857,1.6666666666666667
Mars,False,True,42-48,563.0,489.0,0.0,3.0,1.0
Mars,False,True,48-54,1176.6666666666667,0.0,345.0,1860.0,0.0
Mars,False,True,54-60,973.8,1.4,410.6,9.4,152.4
Mars,False,True,60-66,2353.0,334.0,9.0,316.0,2.0
Mars,False,True,66-72,712.0,0.0,1278.5,100.5,391.0
Mars,False,True,72-78,,,,,
Mars,False,True,78-84,,,,,
Mars,False,True,84+,,,,,
Mars,True,False,0-6,0.0,0.0,0.0,0.0,0.0
Mars,True,False,6-12,0.0,0.0,0.0,0.0,0.0
Mars,True,False,12-18,0.0,0.0,0.0,0.0,0.0
Mars,True,False,18-24,0.0,0.0,0.0,0.0,0.0
Mars,True,False,24-30,0.0,0.0,0.0,0.0,0.0
Mars,True,False,30-36,0.0,0.0,0.0,0.0,0.0
Mars,True,False,36-42,0.0,0.0,0.0,0.0,0.0
Mars,True,False,42-48,0.0,0.0,0.0,0.0,0.0
Mars,True,False,48-54,0.0,0.0,0.0,0.0,0.0
Mars,True,False,54-60,0.0,0.0,0.0,0.0,0.0
Mars,True,False,60-66,0.0,0.0,0.0,0.0,0.0
Mars,True,False,66-72,0.0,0.0,0.0,0.0,0.0
Mars,True,False,72-78,0.0,0.0,0.0,0.0,0.0
Mars,True,False,78-84,,,,,
Mars,True,False,84+,,,,,
Mars,True,True,0-6,,,,,
Mars,True,True,6-12,,,,,
Mars,True,True,12-18,,,,,
Mars,True,True,18-24,,,,,
Mars,True,True,24-30,,,,,
Mars,True,True,30-36,,,,,
Mars,True,True,36-42,,,,,
Mars,True,True,42-48,,,,,
Mars,True,True,48-54,,,,,
Mars,True,True,54-60,,,,,
Mars,True,True,60-66,,,,,
Mars,True,True,66-72,,,,,
Mars,True,True,72-78,,,,,
Mars,True,True,78-84,,,,,
Mars,True,True,84+,,,,,
